cliente_id,banda,ingreso_recurrente,edad,antiguedad_laboral,num_productos,score_comportamiento,ratio_deuda_ingreso,meses_ultimo_atraso,default,prob_default
68,1,700.71,21,0.48,1,439,2.25,0,1,0.7186
69,1,572.33,18,0.0,1,429,3.0,1,1,0.8827
70,1,370.98,25,0.47,2,410,1.02,0,1,0.5565
71,1,572.28,27,0.48,1,486,0.29,0,0,0.2268
72,1,807.61,35,1.54,2,477,1.25,1,1,0.3039
73,1,492.83,28,0.64,1,391,1.77,5,1,0.6811
74,1,812.93,25,0.0,1,450,1.74,0,1,0.598
75,1,100.0,31,1.4,1,381,0.96,0,1,0.5794
76,1,664.38,18,0.0,1,361,0.1,0,1,0.3751
77,1,517.41,28,0.0,3,398,0.6,0,1,0.4742
78,1,440.2,30,0.59,1,473,3.0,4,1,0.826
79,1,518.35,19,0.45,1,477,1.14,1,1,0.4311
80,1,102.49,32,1.43,1,455,1.0,1,1,0.4562
81,1,456.07,28,0.43,1,466,0.41,2,0,0.2876
82,1,571.42,24,0.03,2,455,0.6,0,1,0.3646
83,1,795.58,30,0.64,1,397,2.93,1,1,0.849
84,1,396.35,38,2.64,2,451,1.43,1,1,0.3949
85,1,338.3,27,0.69,3,470,2.01,1,1,0.6791
86,1,399.65,28,0.82,1,467,0.79,15,0,0.2609
87,1,683.08,24,0.72,3,489,1.29,2,1,0.379
88,1,565.75,22,0.12,1,465,0.37,1,0,0.2869
89,1,394.05,31,0.77,1,447,1.59,3,1,0.5809
90,1,602.65,22,0.0,1,483,0.73,0,1,0.3458
91,1,519.42,27,0.46,2,428,0.76,0,1,0.4243
92,1,693.73,24,0.18,3,385,1.36,0,1,0.6252
93,1,359.59,29,1.06,1,421,3.0,0,1,0.8768
94,1,434.47,28,0.63,2,392,0.1,1,1,0.325
95,1,421.58,32,1.37,1,396,2.26,1,1,0.7667
96,1,207.3,24,0.16,1,422,0.45,4,1,0.4268
97,1,559.22,25,0.34,1,390,0.76,1,1,0.4805
98,1,552.21,22,0.0,3,414,0.1,1,1,0.3128
99,1,501.02,24,0.66,2,335,0.47,0,1,0.4943
100,1,453.08,28,0.77,1,440,0.91,0,1,0.4321
101,1,216.93,30,1.3,1,430,0.1,1,0,0.2702
102,1,415.87,22,0.0,1,389,0.88,1,1,0.5754
103,1,431.46,31,1.94,1,462,3.0,3,1,0.7715
104,1,339.54,33,1.03,1,476,0.14,0,0,0.2214
105,1,467.74,29,1.25,2,349,1.88,0,1,0.7582
106,1,580.81,36,0.88,1,391,0.69,1,1,0.4093
107,1,877.24,23,0.41,1,391,1.38,0,1,0.5578
108,1,534.92,20,0.0,1,383,0.39,0,1,0.442
109,1,551.51,18,0.0,2,471,0.23,2,0,0.2541
110,1,485.11,34,2.16,2,420,0.23,0,0,0.2103
111,1,116.25,30,0.7,1,416,0.1,1,1,0.3549
112,1,494.7,26,0.51,2,329,0.27,0,1,0.4685
113,1,512.05,28,1.04,1,461,1.42,0,1,0.4883
114,1,992.65,21,0.15,1,368,2.77,0,1,0.8533
115,1,461.53,39,1.78,1,432,2.19,3,1,0.6514
116,1,560.31,27,0.68,1,443,1.5,0,1,0.5569
117,1,493.06,27,1.7,1,498,0.15,2,0,0.1363
118,1,266.26,30,0.77,3,364,0.44,0,1,0.4897
119,1,728.56,29,0.8,2,300,0.48,2,1,0.4711
120,1,650.39,28,1.13,2,439,0.37,0,0,0.2455
121,1,658.21,23,0.65,1,520,0.94,2,0,0.2666
122,1,318.12,29,1.29,1,491,1.0,1,1,0.3546
123,1,780.56,36,1.72,2,440,0.57,5,0,0.1935
124,1,219.63,33,0.53,1,405,0.57,0,1,0.4842
125,1,617.37,34,2.02,1,470,2.29,0,1,0.5837
126,1,938.09,24,0.0,1,381,2.02,0,1,0.7352
127,1,301.89,22,0.15,2,453,0.48,3,1,0.3697
128,1,386.74,26,0.02,1,455,3.0,1,1,0.8832
129,1,519.93,27,0.47,1,483,3.0,2,1,0.82
130,1,399.3,32,1.16,2,567,0.51,0,0,0.1677
131,1,189.87,18,0.0,1,449,0.57,0,1,0.4625
132,1,513.71,34,1.41,1,404,0.92,0,1,0.4259
133,1,287.54,26,1.21,1,428,3.0,6,1,0.8504
134,1,594.72,24,0.43,1,341,2.72,2,1,0.8933
135,1,316.12,21,0.0,2,395,0.14,5,1,0.3741
136,1,809.99,18,0.08,1,409,0.65,0,1,0.3883
137,1,343.35,31,1.49,1,403,1.05,1,1,0.4878
138,1,435.59,27,0.0,2,437,0.91,2,1,0.4897
139,1,662.7,20,0.1,2,388,0.28,0,1,0.3678
140,1,253.83,20,0.15,2,486,2.55,3,1,0.7988
141,1,545.49,25,0.15,1,430,1.47,5,1,0.5764
142,1,761.43,35,1.99,1,429,2.37,4,1,0.6028
143,1,178.5,25,0.22,3,413,2.54,2,1,0.8759
144,1,536.93,19,0.0,2,437,1.79,0,1,0.6934
145,1,551.98,25,0.21,1,471,0.75,0,1,0.3657
146,1,656.36,25,0.31,1,386,1.23,6,1,0.54
147,1,252.61,18,0.0,1,397,0.23,0,1,0.4481
148,1,235.91,26,0.0,3,414,1.46,2,1,0.704
149,1,604.39,25,1.1,1,362,0.26,2,1,0.3242
150,1,559.4,30,0.38,1,389,1.54,1,1,0.6681
151,1,550.1,36,0.9,1,406,0.34,9,0,0.2567
152,1,569.29,32,0.0,2,473,0.16,0,0,0.2489
153,1,364.0,25,0.0,2,443,0.23,0,1,0.3492
154,1,546.45,21,0.0,1,439,0.1,0,0,0.2858
155,1,558.61,39,2.52,2,472,1.65,1,1,0.3849
156,1,357.13,27,1.0,3,423,1.71,0,1,0.6622
157,1,873.15,27,0.16,1,449,0.94,0,1,0.3735
158,1,594.77,26,1.53,1,424,0.23,3,0,0.2062
159,1,261.74,27,0.99,1,443,0.11,5,0,0.2417
160,1,631.31,26,0.24,2,400,0.1,0,1,0.3059
161,1,305.06,24,0.0,1,308,0.24,0,1,0.5856
162,1,657.42,24,1.35,2,423,2.88,5,1,0.7797
163,1,731.72,26,0.0,2,501,0.36,0,0,0.2213
164,1,335.86,24,0.0,1,476,0.57,0,1,0.3824
165,1,692.68,23,0.61,3,478,0.14,0,0,0.1845
166,1,582.56,27,1.72,1,491,0.33,1,0,0.1564
167,1,664.41,25,0.99,1,434,0.95,0,1,0.3834
168,1,879.36,34,1.48,2,439,1.22,6,1,0.3046
169,1,450.92,18,0.0,2,399,0.37,1,1,0.4217
170,1,349.25,32,1.43,1,414,0.1,1,0,0.2569
171,1,322.1,33,1.48,2,460,0.64,0,1,0.3146
172,1,336.84,18,0.0,3,490,0.35,1,1,0.3032
173,1,484.58,25,0.35,1,423,0.32,2,1,0.3302
174,1,568.23,25,0.27,3,407,3.0,2,1,0.8856
175,1,555.34,19,0.0,1,430,1.25,2,1,0.5558
176,1,665.44,23,0.0,1,460,1.06,1,1,0.4393
177,1,502.6,21,0.0,1,357,0.7,4,1,0.5373
178,1,790.71,35,1.25,2,315,0.73,3,1,0.4463
179,1,447.07,31,0.41,2,402,1.01,2,1,0.5374
180,1,1044.03,33,0.55,1,368,1.55,0,1,0.5838
181,1,625.13,30,0.89,1,404,1.57,0,1,0.6056
182,1,328.57,21,0.6,2,422,0.24,0,1,0.3462
183,1,285.82,24,0.66,1,407,0.9,2,1,0.5205
184,1,596.49,29,0.0,2,502,0.69,1,1,0.304
185,1,455.31,20,0.0,2,446,2.66,1,1,0.8424
186,1,642.8,30,1.27,1,445,1.3,4,1,0.3996
187,1,594.65,25,0.0,3,461,0.99,4,1,0.4132
188,1,485.43,25,0.19,1,373,0.16,4,1,0.3663
189,1,330.64,30,1.08,3,481,1.21,0,1,0.4446
190,1,197.03,29,0.22,2,426,0.16,2,1,0.3651
191,1,410.7,25,0.35,2,463,0.53,0,1,0.3497
192,1,671.28,32,0.33,1,376,0.2,0,1,0.3478
193,1,542.82,21,0.0,2,352,1.53,0,1,0.7535
194,1,250.85,30,0.96,1,470,0.3,0,0,0.2795
195,1,534.64,29,0.0,1,448,0.65,1,1,0.3901
196,1,577.06,25,0.52,1,384,2.94,3,1,0.882
197,1,323.23,28,0.59,1,386,0.3,0,1,0.4173
198,1,530.75,20,0.08,1,486,0.92,2,1,0.3822
199,1,511.64,31,1.01,2,370,0.71,1,1,0.4555
200,1,271.41,26,1.08,2,512,0.1,0,0,0.1834
201,1,571.56,24,0.26,1,384,2.05,1,1,0.7808
202,1,612.16,32,0.79,2,461,0.1,0,0,0.1987
203,1,716.61,23,0.16,1,413,0.84,1,1,0.4358
204,1,710.76,19,0.0,2,460,1.07,1,1,0.4308
205,1,224.47,19,0.0,2,402,1.29,0,1,0.7018
206,1,312.43,30,0.82,1,421,1.52,0,1,0.6445
207,1,603.01,20,0.0,2,432,0.38,1,1,0.3368
208,1,602.76,35,0.97,1,379,0.1,4,0,0.2632
209,1,603.01,18,0.0,1,467,1.67,0,1,0.6044
210,1,1270.55,35,2.17,2,404,1.0,2,0,0.2134
211,1,614.18,28,0.0,1,418,2.35,2,1,0.796
212,1,727.11,26,0.05,1,380,2.24,5,1,0.781
213,1,690.8,24,0.0,1,301,2.41,3,1,0.8906
214,1,630.28,28,1.05,2,420,0.86,1,1,0.3802
215,1,436.95,26,0.25,1,550,0.53,2,0,0.2188
216,1,651.79,32,1.62,1,469,2.04,4,1,0.5128
217,1,345.43,27,0.16,2,429,0.78,1,1,0.488
218,1,452.64,27,0.64,2,416,0.26,0,1,0.3281
219,1,402.93,25,0.0,1,431,2.51,0,1,0.8475
220,1,516.37,26,1.47,1,457,2.78,3,1,0.7514
221,1,962.93,28,0.01,1,370,0.82,3,1,0.4373
222,1,126.55,18,0.0,1,485,0.1,0,1,0.3102
223,1,637.25,20,0.12,1,465,0.64,1,1,0.329
224,1,177.46,30,1.01,2,465,2.12,1,1,0.7197
225,1,405.61,27,0.41,2,451,3.0,0,1,0.8738
226,1,717.79,26,0.34,2,430,0.3,7,0,0.2352
227,1,512.86,27,0.52,1,463,0.1,0,0,0.2281
228,1,284.45,28,0.53,2,459,2.73,0,1,0.8441
229,1,356.94,24,0.68,1,412,0.64,1,1,0.4354
230,1,635.92,23,1.21,3,401,1.01,2,1,0.4254
231,1,353.93,27,0.22,2,435,3.0,0,1,0.8964
232,1,543.29,22,0.0,1,507,0.1,2,0,0.1919
233,1,509.11,29,0.66,2,368,1.36,1,1,0.6491
234,1,369.68,18,0.89,1,356,0.1,0,1,0.3826
235,1,928.79,32,0.6,2,438,0.61,0,0,0.273
236,1,626.78,29,1.52,1,432,2.12,1,1,0.6321
237,1,100.0,28,1.44,1,438,0.74,0,1,0.426
238,1,537.29,31,0.62,2,442,3.0,5,1,0.835
239,1,367.64,35,1.58,1,418,1.06,3,1,0.4366
240,1,670.49,32,1.81,2,504,0.5,8,0,0.1245
241,1,341.5,18,0.0,1,349,0.32,0,1,0.5304
242,1,477.05,20,0.0,2,388,0.56,6,1,0.4404
243,1,601.0,23,0.0,2,424,0.61,1,1,0.4029
244,1,673.15,27,0.0,1,347,0.1,0,1,0.3953
245,1,259.94,29,0.38,1,421,0.6,0,1,0.4681
246,1,433.1,23,0.0,1,513,0.81,0,1,0.3586
247,1,405.01,27,0.52,1,431,1.67,2,1,0.6505
248,1,369.33,23,0.0,1,441,1.39,1,1,0.6266
249,1,853.09,23,0.22,2,366,1.6,0,1,0.6705
250,1,581.0,19,0.0,3,399,0.1,1,1,0.3284
251,1,247.82,22,0.17,2,411,0.32,0,1,0.4352
252,1,683.57,20,0.22,2,414,1.41,1,1,0.5813
253,1,924.43,22,0.0,2,494,0.86,0,1,0.289
254,1,706.49,32,1.19,2,457,0.1,3,0,0.1546
255,1,196.13,22,0.61,1,374,2.12,3,1,0.8331
256,1,403.15,40,1.2,3,442,1.93,1,1,0.6493
257,1,753.38,29,1.54,2,454,1.03,0,1,0.3099
258,1,358.47,27,0.71,1,487,0.1,0,0,0.2162
259,1,588.76,22,0.0,1,509,1.89,3,1,0.5688
260,1,654.93,30,0.77,1,379,1.14,0,1,0.5417
261,1,314.61,24,0.48,1,389,1.98,0,1,0.8007
262,1,488.09,27,0.54,2,367,1.81,0,1,0.7637
263,1,100.0,39,1.97,1,418,2.11,1,1,0.733
264,1,295.12,26,0.0,1,453,0.95,1,1,0.5166
265,1,449.49,32,1.08,3,479,0.2,3,0,0.1891
266,1,250.44,23,0.0,1,426,1.45,0,1,0.696
267,1,826.48,26,0.34,1,414,1.26,0,1,0.506
268,1,213.97,35,0.85,1,437,1.76,3,1,0.6736
269,1,411.99,23,0.0,2,388,0.24,3,1,0.4026
270,1,526.15,36,2.02,3,534,0.28,0,0,0.1161
271,1,788.25,30,1.35,1,349,2.87,1,1,0.8531
272,1,212.83,24,0.5,2,439,1.8,0,1,0.7248
273,1,732.63,30,0.25,1,531,3.0,5,1,0.7211
274,1,502.05,31,0.74,3,430,1.85,0,1,0.6691
275,1,303.7,30,1.41,2,420,1.18,5,1,0.4769
276,1,592.42,19,0.0,2,412,1.38,2,1,0.6092
277,1,539.81,23,1.26,1,420,2.86,1,1,0.8243
278,1,379.96,25,0.5,3,498,1.12,0,1,0.4308
279,1,513.96,26,0.5,2,319,1.3,1,1,0.7182
280,1,422.94,30,0.65,1,506,0.22,1,0,0.2025
281,1,522.7,27,0.57,2,358,0.83,0,1,0.5508
282,1,632.43,20,0.0,1,416,1.64,2,1,0.6541
283,1,817.2,28,0.95,2,408,0.41,7,0,0.2273
284,1,252.44,30,1.28,1,459,0.29,1,0,0.2646
285,1,926.61,29,0.31,2,350,0.49,2,1,0.3827
286,1,109.58,32,0.33,1,453,0.36,0,1,0.3965
287,1,469.64,31,0.0,1,531,0.31,1,0,0.2185
288,1,617.66,29,0.95,1,361,0.72,0,1,0.4603
289,1,556.2,26,0.0,1,439,3.0,1,1,0.8773
290,1,375.46,18,0.0,1,396,0.92,5,1,0.551
291,1,458.38,29,0.89,1,451,0.27,2,0,0.249
292,1,401.4,28,1.85,1,430,0.1,0,0,0.2098
293,1,382.13,28,0.6,1,397,1.55,0,1,0.6886
294,1,669.92,20,0.22,1,454,0.63,1,1,0.3281
295,1,571.4,21,0.0,2,520,2.24,1,1,0.6553
296,1,361.42,32,0.95,1,420,1.4,3,1,0.5721
297,1,679.92,26,0.86,3,465,2.07,3,1,0.5916
298,1,561.46,30,0.65,2,365,0.41,1,1,0.4081
299,1,662.57,27,0.63,2,382,1.53,0,1,0.6417
300,1,625.93,27,0.66,1,453,0.4,0,0,0.2667
301,1,334.2,31,0.57,2,504,3.0,0,1,0.8316
302,1,387.96,24,0.7,1,447,1.32,0,1,0.5454
303,1,649.46,27,0.41,1,414,0.51,1,1,0.352
304,1,622.07,24,0.0,1,429,0.41,2,1,0.336
305,1,495.82,24,0.47,2,367,0.28,2,1,0.3945
306,1,523.47,25,0.0,1,460,1.54,0,1,0.6038
307,1,755.53,28,0.61,1,474,0.32,1,0,0.201
308,1,381.69,24,0.2,3,407,1.18,0,1,0.6191
309,1,609.42,33,1.64,2,406,0.4,0,0,0.2674
310,1,459.56,22,0.24,1,443,1.41,3,1,0.571
311,1,456.46,26,0.39,1,408,2.19,0,1,0.7966
312,1,719.76,24,0.61,2,426,1.96,1,1,0.6529
313,1,665.08,34,1.9,1,534,1.86,0,1,0.369
314,1,662.7,27,0.78,1,417,0.27,4,0,0.2479
315,1,761.1,32,1.01,1,412,0.12,1,0,0.2138
316,1,504.2,19,0.0,3,397,1.56,0,1,0.7075
317,1,636.39,28,0.07,2,467,0.6,1,1,0.3209
318,1,437.95,31,0.75,2,420,0.74,2,1,0.4121
319,1,564.83,27,0.2,2,397,0.1,6,0,0.2851
320,1,473.97,32,0.91,1,496,0.39,0,0,0.2248
321,1,519.4,24,0.23,1,500,0.1,4,0,0.1809
322,1,619.03,34,1.46,1,399,2.75,5,1,0.7843
323,1,336.36,38,1.56,1,336,0.36,4,1,0.3997
324,1,918.48,25,0.54,1,480,1.06,2,1,0.2996
325,1,298.8,24,0.23,2,395,0.1,1,1,0.3818
326,1,257.16,34,0.21,2,469,1.43,1,1,0.6011
327,1,731.62,34,0.73,2,331,0.51,2,1,0.4309
328,1,658.33,24,0.13,1,474,2.97,1,1,0.8252
329,1,624.82,24,0.0,2,369,2.85,2,1,0.8985
330,1,625.67,25,0.6,2,466,0.51,1,0,0.2694
331,1,497.55,20,0.57,1,430,3.0,2,1,0.8656
332,1,320.55,22,0.61,2,382,3.0,3,1,0.9102
333,1,515.16,21,0.0,1,409,2.27,0,1,0.8185
334,1,364.57,23,0.85,1,464,2.42,3,1,0.7423
335,1,695.02,26,0.47,1,435,0.37,1,0,0.2774
336,1,470.59,28,0.43,1,459,1.12,3,1,0.4519
337,1,334.9,34,0.89,1,528,0.1,1,0,0.1631
338,1,435.72,22,0.0,2,351,0.13,0,1,0.4546
339,1,582.59,31,0.71,3,510,3.0,4,1,0.7548
340,1,387.26,25,0.39,2,435,0.51,0,1,0.3917
341,1,335.56,26,0.48,2,385,1.79,3,1,0.7514
342,1,548.74,30,0.8,1,363,2.14,1,1,0.7933
343,1,548.99,21,0.12,2,420,2.54,1,1,0.8314
344,1,398.61,28,1.2,1,476,3.0,0,1,0.8189
345,1,405.79,27,0.97,1,423,0.36,1,1,0.3173
346,1,546.41,29,0.0,1,505,0.1,0,0,0.2042
347,1,210.38,28,0.0,1,357,0.69,0,1,0.6385
348,1,218.51,39,2.17,1,429,0.18,0,0,0.2378
349,1,356.31,23,0.0,1,367,0.1,0,1,0.4404
350,1,457.31,24,0.09,1,448,0.58,7,1,0.3394
351,1,562.18,23,0.0,3,474,1.99,6,1,0.6315
352,1,795.07,24,0.0,1,408,1.09,1,1,0.5007
353,1,671.53,23,0.37,1,300,0.49,2,1,0.523
354,1,468.01,32,1.38,1,439,1.38,0,1,0.498
355,1,496.2,34,0.91,2,451,0.34,2,0,0.2545
356,1,299.49,24,0.0,1,450,0.1,3,1,0.3012
357,1,496.3,22,0.0,1,491,1.88,5,1,0.6016
358,1,442.27,29,0.9,1,376,1.27,1,1,0.6129
359,1,564.54,24,0.0,1,464,1.87,3,1,0.6412
360,1,334.55,30,0.89,1,489,0.1,0,0,0.2078
361,1,603.87,28,0.59,1,341,2.36,9,1,0.812
362,1,806.55,19,0.0,1,445,1.26,0,1,0.487
363,1,478.25,34,1.26,1,404,1.08,1,1,0.4793
364,1,580.34,35,0.81,1,425,1.27,2,1,0.4969
365,1,638.03,23,0.7,2,447,2.6,2,1,0.7607
366,1,419.76,25,0.22,1,405,1.15,0,1,0.6048
367,1,544.82,28,0.59,1,396,1.13,5,1,0.5124
368,1,502.52,28,0.13,1,431,3.0,0,1,0.8873
369,1,519.54,30,0.58,3,375,1.84,1,1,0.7441
370,1,345.4,37,1.06,1,375,0.76,0,1,0.5067
371,1,504.9,26,0.31,1,463,1.6,0,1,0.5915
372,1,599.6,23,0.96,2,372,0.64,1,1,0.4187
373,1,790.23,20,0.0,1,463,0.34,1,0,0.2466
374,1,691.85,23,0.0,1,453,1.18,0,1,0.4835
375,1,930.64,26,1.14,1,343,3.0,0,1,0.8684
376,1,346.53,35,1.2,2,396,3.0,1,1,0.8875
377,1,674.46,24,0.0,1,489,0.54,2,0,0.2688
378,1,536.67,28,1.12,2,380,0.98,4,1,0.4657
379,1,937.96,26,0.1,3,406,0.31,0,0,0.2869
380,1,338.34,32,1.91,1,453,3.0,0,1,0.815
381,1,332.06,39,2.04,1,469,3.0,0,1,0.7924
382,1,380.12,24,0.0,1,417,1.36,0,1,0.6625
383,1,100.0,24,1.28,1,400,2.12,2,1,0.7924
384,1,394.85,32,0.7,1,501,1.63,1,1,0.5245
385,1,348.17,30,1.17,3,516,1.17,0,1,0.3661
386,1,530.08,36,1.55,2,478,0.1,0,0,0.1567
387,1,568.35,29,1.35,2,434,0.79,0,1,0.3398
388,1,875.23,25,1.08,1,389,1.46,3,1,0.4992
389,1,690.08,29,0.72,2,388,1.47,7,1,0.5473
390,1,384.62,32,0.62,3,456,0.61,0,1,0.3624
391,1,320.32,31,1.13,2,450,3.0,0,1,0.8563
392,1,598.38,29,0.36,1,500,0.24,4,0,0.1831
393,1,235.95,32,2.01,2,462,0.9,5,1,0.3119
394,1,866.29,32,1.07,1,354,1.53,1,1,0.5937
395,1,735.89,33,0.92,1,482,1.55,0,1,0.4406
396,1,406.16,30,0.89,1,380,1.36,0,1,0.6442
397,1,157.37,26,0.0,2,410,0.42,1,1,0.4899
398,1,770.77,27,0.01,2,442,0.22,0,0,0.2601
399,1,477.09,33,1.7,1,529,1.31,0,1,0.3103
400,1,747.56,22,0.0,1,585,1.19,1,0,0.2619
401,1,181.11,28,0.08,1,460,0.26,0,1,0.3645
402,1,380.12,25,0.57,1,420,1.59,3,1,0.6431
403,1,501.05,27,1.09,1,456,0.79,0,1,0.3416
404,1,509.4,33,1.46,1,474,1.43,0,1,0.4353
405,1,409.99,27,1.0,2,413,2.36,1,1,0.7874
406,1,624.57,27,0.12,1,519,0.24,1,0,0.1878
407,1,286.48,20,0.0,1,441,0.1,7,0,0.2885
408,1,471.52,30,1.55,1,454,1.96,1,1,0.5947
409,1,524.06,30,0.64,3,463,1.22,0,1,0.466
410,1,602.89,37,1.37,2,451,1.56,2,1,0.4734
411,1,642.32,25,0.96,2,471,2.37,0,1,0.6761
412,1,275.07,28,0.88,1,399,2.11,4,1,0.7731
413,1,193.18,28,0.83,1,402,3.0,0,1,0.9119
414,1,755.54,34,2.28,1,374,1.0,1,1,0.3578
415,1,566.46,26,0.08,2,451,0.87,0,1,0.4342
416,1,350.3,28,1.06,3,468,0.67,1,1,0.3249
417,1,810.23,30,0.83,2,452,0.22,3,0,0.1778
418,1,523.13,27,0.63,2,513,1.11,3,1,0.334
419,1,735.86,24,0.96,2,429,0.42,0,0,0.2612
420,1,513.5,27,0.75,1,463,3.0,0,1,0.836
421,1,912.15,32,1.27,3,375,1.14,3,1,0.417
422,1,851.07,21,0.44,1,410,1.17,5,1,0.4341
423,1,450.21,27,0.32,1,464,0.57,0,1,0.3499
424,1,694.31,23,0.0,1,472,0.1,1,0,0.2107
425,1,629.08,32,0.48,1,415,0.1,0,0,0.2692
426,1,773.73,19,0.0,1,426,0.72,4,1,0.361
427,1,307.02,24,1.23,1,354,0.11,0,1,0.3774
428,1,637.21,28,0.05,1,412,1.21,0,1,0.5699
429,1,711.68,34,1.09,1,474,2.77,2,1,0.719
430,1,148.25,26,0.26,1,458,2.79,0,1,0.879
431,1,263.35,24,0.35,1,455,1.4,1,1,0.6035
432,1,100.0,36,1.81,1,432,0.31,1,1,0.2995
433,1,446.12,19,0.13,1,430,2.58,0,1,0.8467
434,1,643.51,18,0.0,2,396,2.82,1,1,0.8798
435,1,800.47,29,0.62,2,464,0.28,1,0,0.1986
436,1,514.82,24,0.34,2,451,1.74,0,1,0.6396
437,1,825.72,21,0.0,2,454,0.44,1,0,0.2708
438,1,223.98,30,1.6,1,403,2.11,3,1,0.7387
439,1,159.32,28,0.85,2,322,3.0,2,1,0.9446
440,1,488.89,24,0.57,1,484,0.1,0,0,0.2056
441,1,576.81,20,0.13,1,406,2.96,0,1,0.8925
442,1,493.46,31,1.49,2,386,1.27,0,1,0.5428
443,1,100.0,30,0.89,1,464,3.0,0,1,0.8801
444,1,482.18,26,0.0,2,410,0.81,1,1,0.5075
445,1,239.11,36,1.6,2,482,2.44,2,1,0.7036
446,1,633.93,21,0.0,2,460,0.1,0,0,0.2413
447,1,573.32,19,0.0,3,464,0.53,0,1,0.3371
